timestamp,symbol,side,price,quantity
2026-09-01T10:00:00Z,BTC/USDT,sell,60000,0.10
2026-09-01T10:00:00Z,BTC/USDT,sell,60250,0.08
2026-09-01T10:00:00Z,BTC/USDT,buy,59800,0.12
2026-09-01T10:00:00Z,BTC/USDT,buy,59500,0.15
2026-09-01T10:00:00Z,ETH/USDT,sell,2500,1.20
2026-09-01T10:00:00Z,ETH/USDT,buy,2475,1.00
2026-09-01T10:05:00Z,BTC/USDT,sell,60100,0.06
2026-09-01T10:05:00Z,BTC/USDT,buy,60050,0.09
2026-09-01T10:05:00Z,ETH/USDT,sell,2510,0.80
2026-09-01T10:05:00Z,ETH/USDT,buy,2490,1.10
2026-09-01T10:10:00Z,BTC/USDT,sell,59950,0.11
2026-09-01T10:10:00Z,BTC/USDT,buy,60025,0.05
2026-09-01T10:10:00Z,ETH/USDT,sell,2495,1.00
2026-09-01T10:10:00Z,ETH/USDT,buy,2500,0.70
